:Item Number,QOH,Order Point,PriceA,PriceB,PriceC,PriceD,PriceE,PriceF,PriceWD,CorePrice,Unit Measure,Description
D251-3,2,10,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-4,3,12,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-5,7,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-6,12,15,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-7,9,11,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-8,8,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-9,3,6,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-10,7,12,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-11,5,8,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-12,2,10,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-13,8,11,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-14,12,19,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-15,12,15,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-16,6,15,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-17,2,9,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-18,12,16,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-19,9,20,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-20,8,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-21,11,21,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-22,9,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-23,12,12,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-24,3,12,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-25,1,2,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-26,5,14,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-27,8,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-28,6,8,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-29,7,16,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-30,9,11,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-31,11,21,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-32,1,10,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-33,5,11,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-34,11,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-35,9,15,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-36,10,11,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-37,9,14,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-38,8,15,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-39,1,9,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-40,5,14,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-41,9,10,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-42,7,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-43,8,17,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-44,10,20,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-45,11,12,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-46,9,10,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-47,7,16,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-48,6,9,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-49,9,11,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-50,2,7,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-51,6,12,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-52,4,7,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-53,5,9,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-54,10,18,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-55,10,10,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-56,2,9,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-57,6,10,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-58,11,12,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-59,10,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-60,10,14,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-61,4,12,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-62,9,15,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-63,9,10,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-64,9,9,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-65,2,6,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-66,9,19,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-67,6,10,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-68,3,4,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-69,6,7,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-70,10,18,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-71,7,9,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-72,8,15,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-73,2,2,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-74,4,15,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-75,2,10,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-76,3,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-77,3,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-78,2,8,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-79,3,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-80,4,12,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-81,6,12,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-82,8,13,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
D251-83,7,15,43.44,49.96,57.45,66.07,75.98,87.38,32.58,0.00,Each,Water Pump
