:Item Number,QOH,Order Point,PriceA,PriceB,PriceC,PriceD,PriceE,PriceF,PriceWD,CorePrice,Unit Measure,Description
321-2,7,10,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-3,5,16,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-4,10,18,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-5,5,13,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-6,4,13,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-7,12,21,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-8,7,14,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-9,11,17,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-10,5,12,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-11,7,8,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-12,8,10,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-13,10,20,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-14,11,13,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-15,4,8,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-16,1,9,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-17,2,11,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-18,5,11,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-19,4,4,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-20,3,7,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-21,3,8,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-22,8,12,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-23,3,10,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-24,10,20,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-25,1,12,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-26,2,6,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-27,8,18,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-28,10,19,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-29,6,7,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-30,8,12,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-31,6,13,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
321-32,7,14,74.34,85.49,98.31,113.06,130.02,149.52,55.76,25.00,Each,Reman Alternator
