:Item Number,PriceA,PriceB,PriceC,PriceD,PriceE,PriceF,PriceWD,CorePrice
R2TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R3TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R4TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R5TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R6TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R7TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R8TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R9TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R10TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R11TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R12TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R13TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R14TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R15TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R16TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R17TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R18TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R19TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R20TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R21TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R22TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R23TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R24TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R25TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R26TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R27TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R28TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R29TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R30TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R31TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R32TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R33TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R34TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R35TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R36TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R37TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R38TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R39TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R40TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R41TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R42TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R43TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R44TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R45TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R46TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R47TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R48TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R49TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R50TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R51TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R52TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R53TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R54TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R55TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R56TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R57TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R58TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R59TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R60TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R61TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R62TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R63TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R64TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R65TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R66TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R67TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R68TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R69TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R70TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R71TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R72TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R73TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R74TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R75TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R76TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R77TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R78TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R79TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R80TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R81TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R82TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R83TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R84TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R85TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R86TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R87TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R88TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R89TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R90TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R91TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R92TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R93TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R94TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R95TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R96TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R97TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R98TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R99TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R100TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R101TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R102TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R103TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R104TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R105TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R106TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R107TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R108TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R109TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R110TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R111TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R112TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R113TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R114TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R115TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R116TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R117TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R118TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R119TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R120TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R121TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R122TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R123TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R124TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R125TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R126TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R127TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R128TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R129TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R130TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R131TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R132TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R133TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R134TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R135TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R136TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R137TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R138TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R139TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R140TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R141TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R142TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R143TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R144TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R145TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R146TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R147TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R148TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R149TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R150TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R151TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R152TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R153TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R154TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R155TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R156TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R157TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R158TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R159TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R160TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R161TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R162TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R163TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R164TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R165TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R166TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R167TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R168TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R169TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R170TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R171TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R172TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R173TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R174TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R175TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R176TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R177TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R178TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R179TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R180TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R181TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R182TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R183TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R184TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R185TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R186TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R187TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R188TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R189TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R190TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R191TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R192TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R193TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R194TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R195TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R196TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R197TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R198TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R199TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R200TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R201TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R202TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R203TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R204TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R205TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R206TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R207TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R208TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R209TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R210TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R211TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R212TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R213TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R214TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R215TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R216TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R217TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R218TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R219TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R220TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R221TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R222TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R223TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R224TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R225TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R226TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R227TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R228TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R229TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R230TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R231TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R232TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R233TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R234TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R235TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R236TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R237TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R238TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
