:Item Number,PriceA,PriceB,PriceC,PriceD,PriceE,PriceF,PriceWD,CorePrice
321-2,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-3,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-4,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-5,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-6,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-7,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-8,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-9,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-10,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-11,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-12,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-13,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-14,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-15,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-16,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-17,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-18,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-19,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-20,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-21,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-22,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-23,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-24,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-25,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-26,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-27,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-28,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-29,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-30,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-31,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-32,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
321-33,76.34,87.79,100.96,116.1,133.52,153.55,57.26,25.00
